                  Name,  ZoneName,Clock.Today,Wheat.Zadok.Stage,Wheat.Phenology.CurrentStageName,Wheat.AboveGround.Wt,Wheat.AboveGround.N,Wheat.Grain.Yield,Wheat.Grain.Protein,Wheat.Grain.Size,Wheat.Grain.GrainNo,Wheat.Grain.Wt,Wheat.Grain.N,Wheat.Total.Wt,Wheat.EP,wheat.SWStress.Photo,SWTotal,NO3Total,Irrigation.IrrigationApplied,Fertiliser.NitrogenApplied,Manager_P.Script.This_field_no,Manager_P.Script.Patch_area,Soil.SoilWater.Drainage
MultiPaddockSimulation,Patch_0793, 1998-07-01,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,607.990,  20.546,                      20.200,                     0.000,                         2.000,                     73.000,                  0.004
MultiPaddockSimulation,Patch_0793, 1998-07-02,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,617.500,  20.628,                       9.700,                     0.000,                         2.000,                     73.000,                  0.024
MultiPaddockSimulation,Patch_0793, 1998-07-03,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,616.310,  20.703,                       0.000,                     0.000,                         2.000,                     73.000,                  0.071
MultiPaddockSimulation,Patch_0793, 1998-07-04,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,615.262,  20.759,                       0.300,                     0.000,                         2.000,                     73.000,                  0.155
MultiPaddockSimulation,Patch_0793, 1998-07-05,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,614.361,  20.804,                       0.000,                     0.000,                         2.000,                     73.000,                  0.281
MultiPaddockSimulation,Patch_0793, 1998-07-06,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,613.063,  20.843,                       0.200,                     0.000,                         2.000,                     73.000,                  0.443
MultiPaddockSimulation,Patch_0793, 1998-07-07,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,619.511,  20.848,                       7.600,                     0.000,                         2.000,                     73.000,                  0.632
MultiPaddockSimulation,Patch_0793, 1998-07-08,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,620.489,  20.819,                       2.200,                     0.000,                         2.000,                     73.000,                  0.837
MultiPaddockSimulation,Patch_0793, 1998-07-09,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,624.253,  20.798,                       5.200,                     0.000,                         2.000,                     73.000,                  1.047
MultiPaddockSimulation,Patch_0793, 1998-07-10,            0.000,                               ?,               0.000,              0.000,            0.000,              0.000,           0.000,              0.000,         0.000,        0.000,         0.000,   0.000,               1.000,622.607,  20.755,                       0.300,                     0.000,                         2.000,                     73.000,                  1.254
